id,x_cg,y_cg,z_cg,u_cg,v_cg,w_cg,p_cg,lmix_cg,nut_cg,yw_cg,x_hf,y_hf,z_hf,volume_hf,yw_hf,u_hf,v_hf,w_hf,dx,dy,dz,coord_dist,du,dv,dw,err_mag,speed_hf,speed_cg,speed_error
9273,2.397355121054e+00,5.357142857143e-01,-2.241626587737e+00,-4.175783660998e-02,-6.306619117874e-03,5.312004996140e-02,1.504814018470e+00,4.500000000000e-02,3.066119365160e-04,5.357142857143e-01,2.397355121054e+00,5.357142857143e-01,-2.241626587737e+00,4.753890324624e-02,5.357142857143e-01,-1.317883174386e-01,1.402154028180e-02,9.578821231203e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.003048082867e-02,-2.032815939967e-02,-4.266816235063e-02,1.016823171510e-01,1.635241444653e-01,6.786184547259e-02,-9.566229899274e-02
9274,1.809053983042e+00,7.500000000000e-01,-2.241626587737e+00,-4.502717577455e-02,-1.340917023367e-02,6.655091569422e-02,1.503197284615e+00,4.500000000000e-02,1.692090075251e-04,7.500000000000e-01,1.809053983042e+00,7.500000000000e-01,-2.241626587737e+00,4.753890324624e-02,7.500000000000e-01,-1.155548184247e-01,5.343939560603e-02,1.132623006703e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.052764265016e-02,-6.684856583969e-02,-4.671138497603e-02,1.078185170506e-01,1.704025639978e-01,8.146334626276e-02,-8.893921773503e-02
9275,2.397355121054e+00,7.500000000000e-01,-2.241626587737e+00,-4.959964254865e-02,-1.551064170539e-02,4.461617688608e-02,1.504409593290e+00,4.500000000000e-02,1.494431293650e-04,7.500000000000e-01,2.397355121054e+00,7.500000000000e-01,-2.241626587737e+00,4.753890324624e-02,7.500000000000e-01,-1.302076473490e-01,2.386341687371e-02,9.634813771446e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.060800480037e-02,-3.937405857910e-02,-5.173196082838e-02,1.035575332752e-01,1.637267776941e-01,6.849312218754e-02,-9.523365550659e-02
9276,1.921821029046e+00,1.071428571429e-01,-1.867736906067e+00,2.061393515539e-02,-3.861294635924e-04,5.129253532967e-02,1.502529031370e+00,4.392857142857e-02,6.120818015007e-04,1.071428571429e-01,1.921821029046e+00,1.071428571429e-01,-1.867736906067e+00,3.027864110277e-02,1.071428571429e-01,-1.119431185861e-01,7.730169273375e-03,1.127360862055e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.325570537415e-01,-8.116298736968e-03,-6.144355087587e-02,1.463303001639e-01,1.590611280254e-01,5.528116857573e-02,-1.037799594497e-01
9277,2.284588075050e+00,1.071428571429e-01,-1.867736906067e+00,8.629150474688e-03,1.333345620811e-03,4.878447012041e-02,1.503754452773e+00,4.392857142857e-02,5.525204653898e-04,1.071428571429e-01,2.284588075050e+00,1.071428571429e-01,-1.867736906067e+00,3.027864110277e-02,1.071428571429e-01,-1.392684352365e-01,5.005091537995e-03,1.108059945377e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.478975857112e-01,-3.671745917184e-03,-6.202152441727e-02,1.604177267895e-01,1.780413334594e-01,4.955970715600e-02,-1.284816263034e-01
9278,1.921821029046e+00,3.214285714286e-01,-1.867736906067e+00,1.066728540865e-02,-6.892896505869e-03,7.835031397138e-02,1.502448268711e+00,4.500000000000e-02,3.364699013724e-04,3.214285714286e-01,1.921821029046e+00,3.214285714286e-01,-1.867736906067e+00,3.027864110277e-02,3.214285714286e-01,-1.291551791455e-01,2.434940642491e-02,1.157289628420e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.398224645541e-01,-3.124230293077e-02,-3.737864887064e-02,1.480660882100e-01,1.751203778372e-01,7.937300989407e-02,-9.574736794311e-02
9279,2.284588075050e+00,3.214285714286e-01,-1.867736906067e+00,-5.570855820371e-03,1.647963463968e-03,6.913038574212e-02,1.503677009061e+00,4.500000000000e-02,3.089299739024e-04,3.214285714286e-01,2.284588075050e+00,3.214285714286e-01,-1.867736906067e+00,3.027864110277e-02,3.214285714286e-01,-1.426695175140e-01,7.055609250540e-03,1.046690601318e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.370986616936e-01,-5.407645786572e-03,-3.553867438971e-02,1.417331402619e-01,1.770875066131e-01,6.937406180270e-02,-1.077134448104e-01
9280,1.921821029046e+00,5.357142857143e-01,-1.867736906067e+00,-3.662835035833e-02,-5.144253142367e-03,7.780458144476e-02,1.502386172595e+00,4.500000000000e-02,3.098511547375e-04,5.357142857143e-01,1.921821029046e+00,5.357142857143e-01,-1.867736906067e+00,3.027864110277e-02,5.357142857143e-01,-1.234955068744e-01,3.522461125569e-02,1.030582231433e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.686715651611e-02,-4.036886439806e-02,-2.525364169852e-02,9.906207403956e-02,1.646599854662e-01,8.614901209044e-02,-7.851097337578e-02
9281,2.284588075050e+00,5.357142857143e-01,-1.867736906067e+00,-4.631888555031e-02,8.941708510465e-04,6.739781231200e-02,1.503373778129e+00,4.500000000000e-02,2.569006143197e-04,5.357142857143e-01,2.284588075050e+00,5.357142857143e-01,-1.867736906067e+00,3.027864110277e-02,5.357142857143e-01,-1.402178224765e-01,2.068503348239e-02,9.108674001896e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.389893692619e-02,-1.979086263134e-02,-2.368892770695e-02,9.884257127102e-02,1.684805702670e-01,8.178449611374e-02,-8.669607415328e-02
9282,1.921821029046e+00,7.500000000000e-01,-1.867736906067e+00,-5.340952024216e-02,-5.498970268135e-03,6.982496813173e-02,1.502132456129e+00,4.500000000000e-02,1.320283828895e-04,7.500000000000e-01,1.921821029046e+00,7.500000000000e-01,-1.867736906067e+00,3.027864110277e-02,7.500000000000e-01,-1.195453684412e-01,5.258003851534e-02,9.542481945420e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.613584819901e-02,-5.807900878347e-02,-2.559985132247e-02,9.166501004203e-02,1.617456389949e-01,8.808144924503e-02,-7.366418974990e-02
