seed,gen,rank,fitness,expr
1,11,1,1.372116886791e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,11,2,1.372116891440e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(add(-0.41058518749939865, -0.40951156130425237), protected_tanh(yw))), yw))"
1,11,3,1.372116892512e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.41058518749939865)), yw))"
1,11,4,1.372116915551e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,11,5,1.372116917854e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,11,6,1.392417102022e-03,"add(neg(yw), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.41058518749939865)), yw))"
1,11,7,1.403174054499e-03,"add(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,11,8,1.437293651567e-03,"add(add(-0.41058518749939865, 0.1375130126648525), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,11,9,1.458819962398e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(yw, yw))"
1,12,0,1.372097763923e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,12,1,1.372116886419e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,12,2,1.372116886791e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(yw, sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,12,3,1.372116891440e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.41058518749939865)), yw))"
1,12,4,1.372116892512e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,12,5,1.372116915551e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,12,6,1.372116917854e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,12,7,1.421040473645e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), yw), sub(protected_tanh(mul(add(-0.41058518749939865, -0.40951156130425237), protected_tanh(yw))), yw))"
1,12,8,1.616539675066e-03,"add(add(neg(yw), -0.40951156130425237), sub(protected_tanh(0.48321706674199083), yw))"
1,12,9,1.710652236624e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), add(-0.46580667898286165, -0.44183743944312504)), yw))"
1,13,0,1.372097772310e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,13,1,1.372116892512e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(add(yw, 0.21465781410737028)), sub(0.48321706674199083, -0.41058518749939865)), yw))"
1,13,2,1.372116895074e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), mul(yw, 0.47941158175179566))), yw))"
1,13,3,1.372116915551e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,13,4,1.372116917854e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(add(-0.41058518749939865, -0.40951156130425237), yw))"
1,13,5,1.372116989286e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(mul(sub(-0.13842223591652314, -0.0974253914699833), neg(0.03212839743153817))), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,13,6,1.374011830944e-03,"add(add(sub(yw, yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,13,7,1.378261142658e-03,"add(sub(yw, sub(0.48321706674199083, -0.10220268693512724)), sub(sub(protected_tanh(yw), sub(protected_tanh(protected_tanh(yw)), -0.41058518749939865)), yw))"
1,13,8,1.382888227653e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(neg(add(yw, yw)), yw))"
1,13,9,1.490813933712e-03,"add(protected_tanh(protected_tanh(yw)), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.41058518749939865)), yw))"
1,14,0,1.372097772310e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,14,1,1.372116886373e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(mul(sub(-0.13842223591652314, -0.0974253914699833), neg(0.03212839743153817))), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,14,2,1.372116886477e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(add(yw, 0.21465781410737028)), sub(0.48321706674199083, -0.41058518749939865)), yw))"
1,14,3,1.372116886646e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), add(sub(yw, yw), -0.40951156130425237))"
1,14,4,1.372116915551e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(add(yw, 0.21465781410737028)), sub(0.48321706674199083, -0.41058518749939865)), yw))"
1,14,5,1.372116989286e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(add(-0.41058518749939865, -0.40951156130425237), protected_tanh(protected_tanh(0.02562721380171673))))"
1,14,6,1.382199224693e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(yw, -0.10220268693512724)), yw))"
1,14,7,1.458819962398e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(yw, yw))"
1,14,8,1.487578311031e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(0.48321706674199083), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,14,9,1.492286037028e-03,"add(sub(protected_tanh(mul(neg(yw), mul(yw, 0.47941158175179566))), yw), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,15,0,1.372097772310e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,15,1,1.372097772310e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
