x_cg,y_cg,u_dns,v_dns,yw,nut,u_baseline,v_baseline,map_dist
3.750000000010e-02,9.125000000001e-01,-4.725480000000e-03,-5.582390000000e-03,3.750000000010e-02,1.247184486696e-05,-2.570515039528e-03,-5.416369282614e-04,7.681003532625e-04
6.249999999987e-02,1.250000000004e-02,-2.656570000000e-03,7.764850000000e-04,1.250000000004e-02,2.284406509702e-06,-1.906264873795e-03,4.744532432950e-04,1.441595342109e-03
6.249999999988e-02,3.750000000011e-02,-2.287130000000e-03,1.290300000000e-03,3.750000000011e-02,2.614116288789e-06,-1.611178282173e-03,7.455968621310e-04,1.750260466489e-03
6.249999999990e-02,6.250000000018e-02,-1.555410000000e-03,1.626950000000e-03,6.249999999990e-02,2.228092419598e-06,-1.137679620727e-03,1.165643924988e-03,1.543647820120e-03
6.249999999991e-02,8.750000000025e-02,-8.488560000000e-04,1.812510000000e-03,6.249999999991e-02,1.574573109679e-06,-7.102750289124e-04,1.469307350322e-03,1.576987713933e-03
6.249999999993e-02,1.125000000003e-01,-2.199270000000e-04,1.875280000000e-03,6.249999999993e-02,1.315757356096e-06,-3.520925749901e-04,1.648796550874e-03,1.638344740789e-03
6.249999999994e-02,1.375000000004e-01,3.140200000000e-04,1.819100000000e-03,6.249999999994e-02,1.470312514553e-06,-6.357028281993e-05,1.733376619064e-03,1.415219237476e-03
6.249999999996e-02,1.625000000005e-01,8.498580000000e-04,1.631220000000e-03,6.249999999996e-02,2.003034936747e-06,1.460193635581e-04,1.716231089670e-03,2.493412669068e-03
6.249999999997e-02,1.875000000005e-01,1.266250000000e-03,1.371250000000e-03,6.249999999997e-02,2.652774856052e-06,2.733206068959e-04,1.613504955893e-03,2.374615913804e-03
6.249999999999e-02,2.125000000006e-01,1.514990000000e-03,1.116060000000e-03,6.249999999999e-02,3.457698462068e-06,3.260193461843e-04,1.430900577780e-03,2.080239106890e-03
6.250000000000e-02,2.375000000006e-01,1.499490000000e-03,7.471950000000e-04,6.250000000000e-02,4.715941455826e-06,3.785557506996e-04,1.111786094311e-03,3.070601689645e-03
6.250000000002e-02,2.625000000006e-01,8.906780000000e-04,1.602730000000e-04,6.250000000002e-02,6.454654648604e-06,5.302001178095e-04,5.665859451570e-04,3.414660815673e-03
6.250000000003e-02,2.875000000005e-01,1.603460000000e-03,-1.685150000000e-03,6.250000000003e-02,8.238087722625e-06,1.000048355873e-03,-4.906374755193e-04,2.144102782405e-03
6.250000000005e-02,3.125000000004e-01,4.294860000000e-03,-5.230020000000e-03,6.250000000005e-02,9.367311337990e-06,1.536843162985e-03,-1.620052489181e-03,2.614965532888e-03
6.250000000006e-02,3.375000000002e-01,4.622190000000e-03,-6.204190000000e-03,6.250000000006e-02,9.579061193359e-06,2.122050703005e-03,-2.901056267356e-03,1.431078872640e-03
6.250000000008e-02,3.625000000001e-01,4.184500000000e-03,-6.609950000000e-03,6.250000000008e-02,9.864719040427e-06,2.647188920932e-03,-4.204780186478e-03,1.492732641804e-03
6.250000000009e-02,3.875000000000e-01,3.616080000000e-03,-7.033160000000e-03,6.250000000009e-02,1.024945597806e-05,3.091072096761e-03,-5.522985933915e-03,1.425962303056e-03
6.250000000011e-02,4.124999999999e-01,2.991250000000e-03,-7.545000000000e-03,6.250000000011e-02,1.065150153772e-05,3.372624650291e-03,-6.891446967212e-03,2.677507561192e-03
6.250000000012e-02,4.374999999998e-01,2.589580000000e-03,-7.952780000000e-03,6.250000000012e-02,1.092485439280e-05,3.497151274093e-03,-8.300786600798e-03,4.083724462816e-03
6.250000000014e-02,4.624999999999e-01,2.066450000000e-03,-8.625270000000e-03,6.250000000014e-02,1.083028305678e-05,3.520924426173e-03,-9.722843537970e-03,1.638092408823e-03
6.250000000015e-02,4.874999999999e-01,1.774470000000e-03,-9.078770000000e-03,6.250000000015e-02,1.044286749372e-05,3.446325486685e-03,-1.110371094868e-02,3.764289672597e-03
6.250000000016e-02,5.125000000000e-01,1.443240000000e-03,-9.654220000000e-03,6.250000000016e-02,9.815330469939e-06,3.272680046645e-03,-1.239661352844e-02,1.449939564100e-03
6.250000000016e-02,5.375000000000e-01,1.211730000000e-03,-1.006980000000e-02,6.250000000016e-02,8.993784644135e-06,3.000537001849e-03,-1.356016672947e-02,1.769240935999e-03
6.250000000016e-02,5.625000000000e-01,9.727110000000e-04,-1.046870000000e-02,6.250000000016e-02,8.037542436532e-06,2.632005156130e-03,-1.455732256713e-02,1.414299999841e-03
6.250000000016e-02,5.875000000001e-01,7.511940000000e-04,-1.077280000000e-02,6.250000000016e-02,7.034949716326e-06,2.170376358015e-03,-1.535544417913e-02,1.414299999841e-03
6.250000000016e-02,6.125000000001e-01,5.248900000000e-04,-1.100310000000e-02,6.250000000016e-02,6.128243957294e-06,1.619471463798e-03,-1.592627786050e-02,1.414299999841e-03
6.250000000016e-02,6.375000000001e-01,2.877730000000e-04,-1.115840000000e-02,6.250000000016e-02,5.543199046554e-06,9.827110286398e-04,-1.624574505548e-02,1.414299999841e-03
6.250000000016e-02,6.625000000001e-01,1.742260000000e-05,-1.122010000000e-02,6.250000000016e-02,5.545095800498e-06,2.622658231337e-04,-1.629460969282e-02,1.769240935933e-03
6.250000000016e-02,6.875000000000e-01,-2.504400000000e-04,-1.120270000000e-02,6.250000000016e-02,6.216033334959e-06,-5.397445935986e-04,-1.606052598959e-02,1.449939564107e-03
6.250000000016e-02,7.125000000000e-01,-6.125690000000e-04,-1.106790000000e-02,6.250000000016e-02,7.453260308128e-06,-1.402464302784e-03,-1.552857963702e-02,3.679192403171e-03
6.250000000016e-02,7.375000000000e-01,-8.980140000000e-04,-1.088850000000e-02,6.250000000016e-02,8.992799254200e-06,-2.301070873331e-03,-1.469824722252e-02,2.026955473006e-03
6.250000000016e-02,7.625000000000e-01,-1.354680000000e-03,-1.051630000000e-02,6.250000000016e-02,1.066786719811e-05,-3.207549748316e-03,-1.356619289929e-02,2.114203570959e-03
6.250000000016e-02,7.875000000001e-01,-1.850550000000e-03,-1.004500000000e-02,6.250000000016e-02,1.229924546245e-05,-4.081815170056e-03,-1.214310940731e-02,2.577230051673e-03
6.250000000016e-02,8.125000000001e-01,-2.391000000000e-03,-9.504810000000e-03,6.250000000016e-02,1.365994824542e-05,-4.865880932576e-03,-1.046039349740e-02,1.503274671994e-03
6.250000000016e-02,8.375000000001e-01,-2.978830000000e-03,-8.928850000000e-03,6.250000000016e-02,1.443962095095e-05,-5.469517834308e-03,-8.579812580754e-03,3.470274555447e-03
6.250000000016e-02,8.625000000001e-01,-3.829050000000e-03,-8.170800000000e-03,6.250000000016e-02,1.431315667962e-05,-5.742858722590e-03,-6.594918015573e-03,2.960210252688e-03
6.250000000016e-02,8.875000000001e-01,-4.926910000000e-03,-7.360770000000e-03,6.250000000016e-02,1.324749130709e-05,-5.449330933552e-03,-4.615279799598e-03,1.443225810290e-03
6.250000000016e-02,9.125000000001e-01,-5.869910000000e-03,-6.768170000000e-03,6.250000000016e-02,1.182450122297e-05,-4.295228202264e-03,-2.735664039123e-03,1.602500152797e-03
6.250000000016e-02,9.375000000001e-01,-6.205050000000e-03,-5.975110000000e-03,6.249999999992e-02,1.191681754692e-05,-1.977005177387e-03,-9.412989008702e-04,1.999910120425e-03
6.250000000016e-02,9.625000000000e-01,-2.133240000000e-03,-2.342480000000e-03,3.749999999998e-02,6.296706814762e-06,1.825546002004e-03,9.919904591720e-04,1.422127100352e-03
6.250000000016e-02,9.875000000000e-01,1.456700000000e-03,-6.889500000000e-04,1.250000000000e-02,3.205210273911e-06,3.351492218385e-03,4.409933620528e-04,1.420681082985e-03
8.749999999980e-02,1.250000000003e-02,-3.354320000000e-03,3.586790000000e-04,1.250000000003e-02,2.511835492551e-06,-2.370108320678e-03,4.054507101495e-04,8.031888011647e-04
8.749999999982e-02,3.750000000009e-02,-2.652680000000e-03,7.925120000000e-04,3.750000000009e-02,1.392256602285e-06,-1.990590960098e-03,4.158973693783e-04,1.276842519832e-03
8.749999999984e-02,6.250000000015e-02,-1.746260000000e-03,1.038900000000e-03,6.250000000015e-02,1.227185953323e-06,-1.412598264880e-03,6.831614446514e-04,9.745582140389e-04
8.749999999987e-02,8.750000000020e-02,-9.218000000000e-04,1.120450000000e-03,8.749999999987e-02,1.108102962087e-06,-9.019556432715e-04,8.346942746446e-04,1.026550227664e-03
8.749999999989e-02,1.125000000003e-01,-1.917900000000e-04,1.105480000000e-03,8.749999999989e-02,1.542810664600e-06,-4.751078162953e-04,9.130097890982e-04,1.118520723876e-03
8.749999999991e-02,1.375000000003e-01,4.372050000000e-04,1.010710000000e-03,8.749999999991e-02,2.298530576801e-06,-1.224488983343e-04,9.307781088480e-04,7.548248870469e-04
