elvol_aux_var,id,x,y,yw_aux_var,z
0.0016,382,-5.38,0.3,0.3,0
0.0016,383,-5.38,0.34,0.34,0
0.0016,385,-5.38,0.42,0.42,0
0.0016,389,-5.38,0.58,0.42,0
0.0016,400,-5.34,0.02,0.02,0
0.0016,401,-5.34,0.06,0.06,0
0.0016,402,-5.34,0.1,0.1,0
0.0016,403,-5.34,0.14,0.14,0
0.0016,404,-5.34,0.18,0.18,0
0.0016,405,-5.34,0.22,0.22,0
0.0016,406,-5.34,0.26,0.26,0
0.0016,407,-5.34,0.3,0.3,0
0.0016,408,-5.34,0.34,0.34,0
0.0016,409,-5.34,0.38,0.38,0
0.0016,410,-5.34,0.42,0.42,0
0.0016,411,-5.34,0.46,0.46,0
0.0016,412,-5.34,0.5,0.5,0
0.0016,413,-5.34,0.54,0.46,0
0.0016,414,-5.34,0.58,0.42,0
0.0016,415,-5.34,0.62,0.38,0
0.0016,416,-5.34,0.66,0.34,0
0.0016,417,-5.34,0.7,0.3,0
0.0016,418,-5.34,0.74,0.26,0
0.0016,419,-5.34,0.78,0.22,0
0.0016,420,-5.34,0.82,0.18,0
0.0016,421,-5.34,0.86,0.14,0
0.0016,422,-5.34,0.9,0.1,0
0.0016,423,-5.34,0.94,0.06,0
0.0016,424,-5.34,0.98,0.02,0
0.0016,425,-5.3,0.02,0.02,0
0.0016,426,-5.3,0.06,0.06,0
0.0016,427,-5.3,0.1,0.1,0
0.0016,428,-5.3,0.14,0.14,0
0.0016,430,-5.3,0.22,0.22,0
0.0016,434,-5.3,0.38,0.38,0
0.0016,435,-5.3,0.42,0.42,0
0.0016,436,-5.3,0.46,0.46,0
0.0016,437,-5.3,0.5,0.5,0
0.0016,438,-5.3,0.54,0.46,0
0.0016,439,-5.3,0.58,0.42,0
0.0016,440,-5.3,0.62,0.38,0
0.0016,441,-5.3,0.66,0.34,0
0.0016,442,-5.3,0.7,0.3,0
0.0016,443,-5.3,0.74,0.26,0
0.0016,444,-5.3,0.78,0.22,0
0.0016,445,-5.3,0.82,0.18,0
