id,x,y,z,volume,yw,U,V,W
        2054, -1.033569108969000E-01,  3.214285714285700E-01,  4.472404529944500E+00,  7.878135780173000E-04,  3.773233244173900E-01,  1.610458387030050E-02, -1.186849678121451E-01, -1.573570814046957E-01
        2055, -6.619833537833200E-02,  3.214285714285700E-01,  4.459055478235500E+00,  5.153839513021000E-04,  3.963344022843100E-01,  1.110906350183145E-02, -1.247766015087672E-01, -1.541789833781730E-01
        2056, -1.033569108969000E-01,  5.357142857142900E-01,  4.472404529944500E+00,  7.878135780173000E-04,  5.710046939712000E-01,  1.233789091200324E-03, -8.530276208559905E-02, -1.103585504413150E-01
        2057, -6.619833537833200E-02,  5.357142857142900E-01,  4.459055478235500E+00,  5.153839513021000E-04,  5.837417475406500E-01,  5.636502422261609E-04, -8.431430170960807E-02, -1.091557422740017E-01
        2058, -1.033569108969000E-01,  7.500000000000000E-01,  4.472404529944500E+00,  7.878135780173000E-04,  7.756007765718000E-01,  2.112478972994493E-03, -7.721151039260649E-02, -6.113634003989075E-02
        2059, -6.619833537833200E-02,  7.500000000000000E-01,  4.459055478235500E+00,  5.153839513021000E-04,  7.850252428447400E-01,  2.008415576828966E-03, -7.315331400145952E-02, -6.076440788391008E-02
        2060, -1.033569108969000E-01,  1.071428571428600E-01,  4.384738327198300E+00,  7.878135780173000E-04,  2.672207761981600E-01,  1.953860675230633E-01, -3.567628235374535E-01, -9.521132371637607E-02
        2061, -6.619833537833100E-02,  1.071428571428600E-01,  4.398087378907400E+00,  5.153839513021000E-04,  2.850456365224300E-01,  1.432408808176923E-01, -4.206825522612174E-01, -1.088564119010697E-01
        2062, -1.033569108969000E-01,  3.214285714285700E-01,  4.384738327198300E+00,  7.878135780173000E-04,  4.040342534065900E-01,  1.502211727221661E-02, -1.065627083939058E-01, -1.438009532423443E-01
        2063, -6.619833537833100E-02,  3.214285714285700E-01,  4.398087378907400E+00,  5.153839513021000E-04,  4.160381588200200E-01,  1.063460703059640E-02, -1.165953894659530E-01, -1.428349443760686E-01
        2064, -1.033569108969000E-01,  5.357142857142900E-01,  4.384738327198300E+00,  7.878135780173000E-04,  5.889967294591500E-01,  2.011568880228228E-03, -6.563384072443031E-02, -1.064532820422187E-01
        2065, -6.619833537833100E-02,  5.357142857142900E-01,  4.398087378907400E+00,  5.153839513021000E-04,  5.972949179275800E-01,  9.611591792691629E-04, -7.035850325168222E-02, -1.059040179789223E-01
        2066, -1.033569108969000E-01,  7.500000000000000E-01,  4.384738327198300E+00,  7.878135780173000E-04,  7.889406513770300E-01,  1.568423943752152E-03, -5.662900707009186E-02, -6.083643454968034E-02
        2067, -6.619833537833100E-02,  7.500000000000000E-01,  4.398087378907400E+00,  5.153839513021000E-04,  7.951549679551400E-01,  1.872281864387655E-03, -5.912343851008399E-02, -6.060886688092811E-02
        2068, -1.033595982932100E-01,  1.014577847480500E+00,  4.472444730566800E+00,  1.156735930568600E-03,  1.033639949680500E+00,  1.992889806127561E-04, -7.789821057732498E-02, -1.224107940218686E-02
        2069, -6.620103646905300E-02,  1.016067797779300E+00,  4.459081877906900E+00,  7.641372296954000E-04,  1.042184524468800E+00,  1.793470719689822E-04, -7.303320979316165E-02, -1.088565342319192E-02
        2070, -1.033648663454900E-01,  1.325511953585900E+00,  4.472524126747300E+00,  1.126137873827700E-03,  9.779330342015100E-01, -1.334607115853823E-03, -8.682396960940190E-02,  3.208385474419364E-02
        2071, -6.620635793809000E-02,  1.329944555726600E+00,  4.459134017241900E+00,  7.443942281377000E-04,  1.008447437903300E+00, -4.283415052075353E-04, -8.349493602036048E-02,  3.295786717412943E-02
