id,mixing_length_aux_var,mu_eff_out,mu_t_out,pressure,u,v,x,y,z
20,0.045,0.0086908559157593,0.0053575229157593,0.31724012890279,-0.16541871900883,0.23489580414045,-10.204158698619,0.28131001077552,0
21,0.045,0.0083787100561294,0.0050453770561294,0.2974289776883,-0.14801402712026,0.27712204316126,-10.202362566203,0.34380629090857,0
22,0.045,0.0080553834626169,0.0047220504626169,0.27596259713682,-0.13021033257143,0.31510075779034,-10.20024753949,0.40629233851975,0
23,0.045,0.0077264272932881,0.0043930942932881,0.25368750244124,-0.11245372556387,0.34883137271731,-10.197813683584,0.46876629384725,0
3248,0.045,0.0074023596984229,0.0040690266984229,0.23116420643957,-0.095206278194106,0.37817543863455,-10.194856071114,0.53128598889786,0
3249,0.045,0.0070820969803489,0.0037487639803489,0.20897905284642,-0.078404607534713,0.40342256642733,-10.191374091967,0.59384952617677,0
4729,0.030890035359109,0.005972428128427,0.002639095128427,0.064702220093854,0.042509100428978,0.39401140438641,-10.190695756632,1.1960487309621,0
4676,0.010249874616985,0.0038187942195144,0.00048546121951438,0.029844882423944,0.023367071105026,0.14383867983903,-10.189263337954,1.5900510368444,0
3250,0.045,0.0067746618253787,0.0034413288253787,0.18765817839724,-0.062187919619802,0.42466674935496,-10.187572150539,0.65639531145973,0
3251,0.045,0.0064850075238226,0.0031516745238226,0.16751983746043,-0.046718178848324,0.4420918817698,-10.183450356041,0.71892147513493,0
3252,0.045,0.0062192059856342,0.0028858729856342,0.14875200964357,-0.032114661209032,0.45590759499374,-10.179008828615,0.78142614811131,0
4730,0.030884927827348,0.0059693054369794,0.0026359724369794,0.049322601424058,0.046408625035606,0.36695928958647,-10.175125940978,1.3265368959011,0
3253,0.045,0.0059848864075092,0.0026515534075092,0.13146303465261,-0.018437329121389,0.46632607456536,-10.174247699322,0.84390746206683,0
3254,0.045,0.0057903011379036,0.0024569681379036,0.11570386753008,-0.0056449190249362,0.47358646830414,-10.169167110171,0.90636354913123,0
4677,0.010248259966863,0.0037732247212568,0.00043989172125683,0.023209976679853,0.022315635509792,0.12762548528124,-10.168815502925,1.7205745964547,0
3255,0.045,0.0056506662893514,0.0023173332893514,0.10138043899069,0.0064479288577808,0.47776703410406,-10.163767214092,0.96879254222161,0
24,0.045,0.0090859367414271,0.0057526037414271,0.33711884549033,-0.30015270611939,0.026883569287081,-10.158117706561,0.031259211006741,0
4731,0.030879914053347,0.0059099410050603,0.0025766080050603,0.037719213183189,0.048699486254015,0.33860761695671,-10.157946450619,1.4568229234762,0
25,0.045,0.0089535503852164,0.0056202173852164,0.33372803606913,-0.29143686372445,0.077253582088101,-10.157535391544,0.093776755860044,0
26,0.045,0.0087833255165826,0.0054499925165826,0.32568294127678,-0.27694147502632,0.12561181480242,-10.156652261536,0.1562916684798,0
27,0.045,0.0085735863387351,0.0052402533387351,0.31314551048869,-0.25892557762815,0.17162982421709,-10.155468336993,0.21880219510656,0
4784,0.045,0.0055144534974068,0.0021811204974068,0.080901797870331,0.025788421870112,0.47729592250618,-10.154418601035,1.0650263423749,0
28,0.045,0.0083336012163798,0.0050002682163798,0.2970835076376,-0.23877684712721,0.21461012304072,-10.153983648601,0.28130658210266,0
29,0.045,0.0080767817593243,0.0047434487593243,0.2785122526994,-0.21740386769321,0.25415799384458,-10.152198237291,0.34380307491382,0
30,0.045,0.0078139157358442,0.0044805827358442,0.25835588557088,-0.19547331835069,0.29011341436819,-10.150112154217,0.40628991991863,0
31,0.045,0.0075484488968216,0.0042151158968216,0.23742237288062,-0.17353460208484,0.32251640088099,-10.14772546076,0.46876536362741,0
4678,0.0102466767312,0.0037308798690252,0.00039754686902521,0.018333821660127,0.021160628069845,0.11309672950258,-10.14675691556,1.8508356169423,0
3256,0.045,0.0072908829458777,0.0039575499458777,0.21612224630054,-0.15224606058645,0.35096171457606,-10.14475265767,0.53128393336084,0
3257,0.045,0.0070373152105138,0.0037039822105138,0.19515110904639,-0.1314862373885,0.37584522230893,-10.141193169697,0.59384384005238,0
4785,0.045,0.0055326004107645,0.0021992674107645,0.06133053488159,0.039817703816713,0.46467885610004,-10.140479153556,1.194992984881,0
4732,0.030874994083491,0.0058119079410768,0.0024785749410768,0.029054350274065,0.049707737606204,0.31052120632608,-10.139159903413,1.5868869578442,0
