id,x,y,z,yw
920,-1.0652800658422000e-01,4.2202616648560998e+00,0.0000000000000000e+00,1.0652800658422000e-01
921,-1.0583686098933000e-01,4.4778825954853003e+00,0.0000000000000000e+00,1.0583686098936999e-01
1422,1.2500000399983999e-01,9.8127790187811001e+00,0.0000000000000000e+00,1.0006746120174000e-01
1426,1.2500000400014999e-01,1.0613318708397999e+01,0.0000000000000000e+00,1.0006746120250000e-01
91,1.3392857571381001e-01,3.7500001200027999e-01,0.0000000000000000e+00,1.2500000399972000e-01
1427,3.7500001199938998e-01,9.8128599683834992e+00,0.0000000000000000e+00,1.0005846680145999e-01
1431,3.7500001200050997e-01,1.0613327702797999e+01,0.0000000000000000e+00,1.0005846680182000e-01
93,4.0178572714142002e-01,3.7500001200027000e-01,0.0000000000000000e+00,1.2500000399972999e-01
1432,6.2500001999882004e-01,9.8129409179859994e+00,0.0000000000000000e+00,1.0004947240117000e-01
1436,6.2500002000096000e-01,1.0613336697198999e+01,0.0000000000000000e+00,1.0004947240139000e-01
95,6.6964287856900995e-01,3.7500001200026001e-01,0.0000000000000000e+00,1.2500000399974001e-01
1437,8.7500002799832999e-01,9.8130218675884997e+00,0.0000000000000000e+00,1.0004047800088001e-01
1441,8.7500002800150001e-01,1.0613345691598999e+01,0.0000000000000000e+00,1.0004047800096000e-01
97,9.3750002999661997e-01,3.7500001200025002e-01,0.0000000000000000e+00,1.2500000399975000e-01
1442,1.1250000359984000e+00,9.8131028171909005e+00,0.0000000000000000e+00,1.0003148360060000e-01
1446,1.1250000360015999e+00,1.0613354685998999e+01,0.0000000000000000e+00,1.0003148360053001e-01
99,1.2053571814243000e+00,3.7500001200024002e-01,0.0000000000000000e+00,1.2500000399976000e-01
1447,1.3750000439990000e+00,9.8131837667934008e+00,0.0000000000000000e+00,1.0002248920031000e-01
1451,1.3750000440012000e+00,1.0613363680400001e+01,0.0000000000000000e+00,1.0002248920009001e-01
101,1.4732143328520999e+00,3.7500001200022998e-01,0.0000000000000000e+00,1.2500000399976999e-01
1452,1.6250000519995000e+00,9.8132647163958993e+00,0.0000000000000000e+00,1.0001349480002000e-01
1456,1.6250000520007000e+00,1.0613372674800001e+01,0.0000000000000000e+00,1.0001349479966000e-01
103,1.7410714842809001e+00,3.7500001200021998e-01,0.0000000000000000e+00,1.2500000399978001e-01
1457,1.8750000599998999e+00,9.8133456659983995e+00,0.0000000000000000e+00,1.0000450039974000e-01
1461,1.8750000600001999e+00,1.0613381669201001e+01,0.0000000000000000e+00,1.0000450039894999e-01
105,2.0089286357103999e+00,3.7500001200020999e-01,0.0000000000000000e+00,1.2500000399979000e-01
107,2.2767857871399002e+00,3.7500001200020000e-01,0.0000000000000000e+00,1.2500000399979999e-01
109,2.5446429385694000e+00,3.7500001200019001e-01,0.0000000000000000e+00,1.2500000399981001e-01
111,2.8125000899988999e+00,3.7500001200017002e-01,0.0000000000000000e+00,1.2500000399982999e-01
113,3.0803572414284002e+00,3.7500001200015998e-01,0.0000000000000000e+00,1.2500000399983999e-01
115,3.3482143928579000e+00,3.7500001200014998e-01,0.0000000000000000e+00,1.2500000399985001e-01
117,3.6160715442873999e+00,3.7500001200013999e-01,0.0000000000000000e+00,1.2500000399986000e-01
119,3.8839286957169001e+00,3.7500001200013000e-01,0.0000000000000000e+00,1.2500000399986999e-01
121,4.1517858471464004e+00,3.7500001200012001e-01,0.0000000000000000e+00,1.2500000399988001e-01
123,4.4196429985758998e+00,3.7500001200011002e-01,0.0000000000000000e+00,1.2500000399989000e-01
125,4.6875001500054001e+00,3.7500001200010002e-01,0.0000000000000000e+00,1.2500000399989999e-01
127,4.9553573014349004e+00,3.7500001200008998e-01,0.0000000000000000e+00,1.2500000399990999e-01
129,5.2232144528643998e+00,3.7500001200007999e-01,0.0000000000000000e+00,1.2500000399992001e-01
131,5.4910716042939001e+00,3.7500001200006999e-01,0.0000000000000000e+00,1.2500000399993000e-01
133,5.7589287557234004e+00,3.7500001200006000e-01,0.0000000000000000e+00,1.2500000399993999e-01
135,6.0267859071528997e+00,3.7500001200005001e-01,0.0000000000000000e+00,1.2500000399995001e-01
137,6.2946430585824000e+00,3.7500001200004002e-01,0.0000000000000000e+00,1.2500000399996000e-01
139,6.5625002100119003e+00,3.7500001200003003e-01,0.0000000000000000e+00,1.2500000399996999e-01
